北京4K组播,#genre#
北京卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.140:8001
北京卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.139:8001
北京卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.140:8001
北京卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.139:8001
东方卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.119:3006
东方卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.119:3006
广东卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.203:2000
广东卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.203:2000
深圳卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.202:2000
深圳卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.202:2000
湖南卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.112:3002
湖南卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.112:3002
山东卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.144:3005
山东卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.144:3005
四川卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.131:3001
四川卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.131:3001
浙江卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.114:3004
浙江卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.114:3004
江苏卫视 4K,http://111.193.235.177:8888/rtp/239.3.1.113:3003
江苏卫视 4K,http://111.192.194.59:8888/rtp/239.3.1.113:3003
爱上 4K,http://111.193.235.177:8888/rtp/239.3.1.236:2000
爱上 4K,http://111.192.194.59:8888/rtp/239.3.1.236:2000
山西4K组播,#genre#
北京卫视 4K,http://60.223.72.201:8005/rtp/226.0.2.155:9172
东方卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.248:2121
广东卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.245:2120
深圳卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.244:2119
湖南卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.246:2125
山东卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.251:2124
四川卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.250:2126
浙江卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.247:2123
江苏卫视 4K,http://60.223.72.201:8005/rtp/226.0.1.249:2122
河南4K组播,#genre#
北京卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.67:1377
东方卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.70:1380
浙江卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.72:1382
江苏卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.71:1381
湖南卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.76:1386
广东卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.69:1379
深圳卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.68:1378
山东卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.73:1383
四川卫视 4K,http://123.10.78.185:40000/rtp/225.1.5.75:1385
河南卫视 4K,http://123.10.78.185:40000/rtp/225.1.4.254:1300
爱上- 4K,http://123.10.78.185:40000/rtp/225.1.4.162:1204
