上海组播,#genre#
CCTV4,http://223.166.61.150:4022/rtp/238.200.200.92:5540
CCTV4,http://223.166.61.150:4022/rtp/238.200.200.232:5540
CCTV4,http://223.166.61.150:4022/rtp/238.200.200.113:5540
CCTV1,http://223.166.61.150:4022/rtp/238.200.200.217:5540
CCTV1,http://223.166.61.150:4022/rtp/238.200.200.133:5540
CCTV1,http://223.166.61.150:4022/rtp/238.200.200.251:5540
CCTV1,http://223.166.61.150:4022/rtp/238.200.200.239:5540
CCTV1,http://223.166.61.150:4022/rtp/238.200.200.57:5540
CCTV2,http://223.166.61.150:4022/rtp/238.200.200.231:5540
CCTV2,http://223.166.61.150:4022/rtp/238.200.200.111:5540
CCTV3,http://223.166.61.150:4022/rtp/238.200.200.63:5540
CCTV3,http://223.166.61.150:4022/rtp/238.200.200.112:5540
CCTV5,http://223.166.61.150:4022/rtp/238.200.200.64:5540
CCTV5,http://223.166.61.150:4022/rtp/238.200.200.114:5540
CCTV6,http://223.166.61.150:4022/rtp/238.200.200.65:5540
CCTV6,http://223.166.61.150:4022/rtp/238.200.200.115:5540
CCTV7,http://223.166.61.150:4022/rtp/238.200.200.237:5540
CCTV7,http://223.166.61.150:4022/rtp/238.200.200.116:5540
CCTV8,http://223.166.61.150:4022/rtp/238.200.200.66:5540
CCTV8,http://223.166.61.150:4022/rtp/238.200.200.117:5540
CCTV9,http://223.166.61.150:4022/rtp/238.200.200.238:5540
CCTV9,http://223.166.61.150:4022/rtp/238.200.200.243:5540
CETV1,http://223.166.61.150:4022/rtp/238.200.200.43:5540
CETV1,http://223.166.61.150:4022/rtp/238.200.200.56:5540
CETV4,http://223.166.61.150:4022/rtp/238.200.200.70:5540
CETV早期教育,http://223.166.61.150:4022/rtp/238.200.200.84:5540
CHC影迷电影,http://223.166.61.150:4022/rtp/238.200.200.62:5540
CHC家庭影院,http://223.166.61.150:4022/rtp/238.200.200.60:5540
CHC动作电影,http://223.166.61.150:4022/rtp/238.200.200.61:5540
第一剧场,http://223.166.61.150:4022/rtp/238.200.200.81:5540
风云剧场,http://223.166.61.150:4022/rtp/238.200.200.80:5540
风云足球,http://223.166.61.150:4022/rtp/238.200.200.67:5540
风云音乐,http://223.166.61.150:4022/rtp/238.200.200.82:5540
世界地理,http://223.166.61.150:4022/rtp/238.200.200.73:5540
怀旧剧场,http://223.166.61.150:4022/rtp/238.200.200.77:5540
兵器科技,http://223.166.61.150:4022/rtp/238.200.200.69:5540
女性时尚,http://223.166.61.150:4022/rtp/238.200.200.74:5540
高尔夫网球,http://223.166.61.150:4022/rtp/238.200.200.76:5540
央视台球,http://223.166.61.150:4022/rtp/238.200.200.68:5540
央视文化精品,http://223.166.61.150:4022/rtp/238.200.200.83:5540
法治天地,http://223.166.61.150:4022/rtp/238.200.200.99:5540
法治天地,http://223.166.61.150:4022/rtp/238.200.200.109:5540
游戏风云,http://223.166.61.150:4022/rtp/238.200.200.29:5540
游戏风云,http://223.166.61.150:4022/rtp/238.200.200.110:5540
茶频道,http://223.166.61.150:4022/rtp/238.200.200.248:5540
金色学堂,http://223.166.61.150:4022/rtp/238.200.200.10:5540
