安徽组播,#genre#
CCTV1,http://36.5.94.218:8686/rtp/238.1.78.166:7200
CCTV1,http://36.5.94.218:8686/rtp/238.1.78.241:7800
CCTV1,http://36.5.94.218:8686/rtp/238.1.78.206:7502
CCTV1,http://36.5.94.218:8686/rtp/238.1.78.242:7808
CCTV1,http://36.5.94.218:8686/rtp/238.1.79.35:4392
CCTV2,http://36.5.94.218:8686/rtp/238.1.78.235:7752
CCTV3,http://36.5.94.218:8686/rtp/238.1.78.170:7232
CCTV4,http://36.5.94.218:8686/rtp/238.1.78.236:7760
CCTV5,http://36.5.94.218:8686/rtp/238.1.78.171:7240
CCTV5,http://36.5.94.218:8686/rtp/238.1.78.237:7768
CCTV6,http://36.5.94.218:8686/rtp/238.1.78.172:7248
CCTV7,http://36.5.94.218:8686/rtp/238.1.78.239:7784
CCTV8,http://36.5.94.218:8686/rtp/238.1.78.173:7256
CCTV9,http://36.5.94.218:8686/rtp/238.1.78.240:7792
CGTN,http://36.5.94.218:8686/rtp/238.1.78.50:6272
CCTV电视指南,http://36.5.94.218:8686/rtp/238.1.79.53:4560
CCTV央视文化精品,http://36.5.94.218:8686/rtp/238.1.79.54:4568
CCTV女性时尚,http://36.5.94.218:8686/rtp/238.1.79.55:4576
CCTV兵器科技,http://36.5.94.218:8686/rtp/238.1.79.56:4584
CCTV风云足球,http://36.5.94.218:8686/rtp/238.1.79.57:4592
CCTV世界地理,http://36.5.94.218:8686/rtp/238.1.79.60:4616
CCTV怀旧剧场,http://36.5.94.218:8686/rtp/238.1.79.61:4624
CCTV风云剧场,http://36.5.94.218:8686/rtp/238.1.79.62:4632
CCTV第一剧场,http://36.5.94.218:8686/rtp/238.1.79.63:4640
CCTV风云音乐,http://36.5.94.218:8686/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://36.5.94.218:8686/rtp/238.1.79.58:4600
CCTV央视台球,http://36.5.94.218:8686/rtp/238.1.79.59:4608
中国教育CETV-1,http://36.5.94.218:8686/rtp/238.1.78.158:7136
中国教育CETV-2,http://36.5.94.218:8686/rtp/238.1.78.106:6720
空中课堂CETV-4,http://36.5.94.218:8686/rtp/238.1.78.107:6728
安徽卫视,http://36.5.94.218:8686/rtp/238.1.79.27:4328
安徽卫视,http://36.5.94.218:8686/rtp/238.1.78.150:7072
安徽经济生活,http://36.5.94.218:8686/rtp/238.1.79.44:4464
安徽影视频道,http://36.5.94.218:8686/rtp/238.1.79.42:4448
安徽公共频道,http://36.5.94.218:8686/rtp/238.1.79.43:4456
安徽综艺体育,http://36.5.94.218:8686/rtp/238.1.79.41:4440
安徽农业科教,http://36.5.94.218:8686/rtp/238.1.79.40:4432
安徽人物频道,http://36.5.94.218:8686/rtp/238.1.79.45:4472
安徽国际频道,http://36.5.94.218:8686/rtp/238.1.78.61:6360
安徽导视频道,http://36.5.94.218:8686/rtp/238.1.79.66:4664
海豚生活,http://36.5.94.218:8686/rtp/238.1.79.50:4512
海豚少儿,http://36.5.94.218:8686/rtp/238.1.79.32:4368
海豚健康,http://36.5.94.218:8686/rtp/238.1.79.33:4376
海豚影视,http://36.5.94.218:8686/rtp/238.1.79.34:4384
家家购物,http://36.5.94.218:8686/rtp/238.1.78.32:6184
北京卫视,http://36.5.94.218:8686/rtp/238.1.78.162:7168
天津卫视,http://36.5.94.218:8686/rtp/238.1.78.20:6088
重庆卫视,http://36.5.94.218:8686/rtp/238.1.78.31:6176
东方卫视,http://36.5.94.218:8686/rtp/238.1.78.163:7176
江苏卫视,http://36.5.94.218:8686/rtp/238.1.78.165:7192
浙江卫视,http://36.5.94.218:8686/rtp/238.1.78.164:7184
黑龙江卫视,http://36.5.94.218:8686/rtp/238.1.78.159:7144
吉林卫视,http://36.5.94.218:8686/rtp/238.1.79.48:4496
辽宁卫视,http://36.5.94.218:8686/rtp/238.1.78.21:6096
东南卫视,http://36.5.94.218:8686/rtp/238.1.78.22:6104
四川卫视,http://36.5.94.218:8686/rtp/238.1.78.30:6168
江西卫视,http://36.5.94.218:8686/rtp/238.1.78.26:6136
广东卫视,http://36.5.94.218:8686/rtp/238.1.78.161:7160
海南卫视,http://36.5.94.218:8686/rtp/238.1.79.49:4504
湖北卫视,http://36.5.94.218:8686/rtp/238.1.78.168:7216
湖南卫视,http://36.5.94.218:8686/rtp/238.1.78.160:7152
贵州卫视,http://36.5.94.218:8686/rtp/238.1.78.244:7824
河北卫视,http://36.5.94.218:8686/rtp/238.1.78.245:7832
河南卫视,http://36.5.94.218:8686/rtp/238.1.79.65:4632
山东卫视,http://36.5.94.218:8686/rtp/238.1.78.169:7224
甘肃卫视,http://36.5.94.218:8686/rtp/238.1.79.36:4400
陕西卫视,http://36.5.94.218:8686/rtp/238.1.78.88:6576
云南卫视,http://36.5.94.218:8686/rtp/238.1.78.89:6584
山西卫视,http://36.5.94.218:8686/rtp/238.1.78.95:6632
青海卫视,http://36.5.94.218:8686/rtp/238.1.78.102:6688
广西卫视,http://36.5.94.218:8686/rtp/238.1.78.70:6432
内蒙古卫视,http://36.5.94.218:8686/rtp/238.1.78.103:6696
宁夏卫视,http://36.5.94.218:8686/rtp/238.1.78.109:6744
新疆卫视,http://36.5.94.218:8686/rtp/238.1.78.110:6752
西藏卫视,http://36.5.94.218:8686/rtp/238.1.78.101:6680
深圳卫视,http://36.5.94.218:8686/rtp/238.1.78.156:7120
兵团卫视,http://36.5.94.218:8686/rtp/238.1.78.104:6704
三沙卫视,http://36.5.94.218:8686/rtp/238.1.78.27:6144
厦门卫视,http://36.5.94.218:8686/rtp/238.1.78.246:7840
陶瓷,http://36.5.94.218:8686/rtp/238.1.78.157:7128
全纪实,http://36.5.94.218:8686/rtp/238.1.78.151:7080
纪实人文,http://36.5.94.218:8686/rtp/238.1.78.153:7096
动漫秀场,http://36.5.94.218:8686/rtp/238.1.78.154:7104
金鹰纪实,http://36.5.94.218:8686/rtp/238.1.79.9:4184
茶频道,http://36.5.94.218:8686/rtp/238.1.79.30:4352
快乐垂钓,http://36.5.94.218:8686/rtp/238.1.79.31:4360
